product_id,name,category,price,features
101,Wireless Bluetooth Headphones,Electronics,59.99,wireless bluetooth headphones audio music noise cancelling portable
102,Noise Cancelling Earbuds,Electronics,79.99,wireless earbuds bluetooth audio noise cancelling compact travel
103,Smartphone Stand,Electronics,14.99,phone stand desk accessory adjustable aluminum
104,USB-C Fast Charger,Electronics,19.99,charger usb-c fast charging adapter travel electronics
105,4K Action Camera,Electronics,129.99,camera 4k waterproof action sports video recording
106,Mystery Novel: The Silent Clue,Books,12.99,mystery novel thriller fiction suspense detective
107,Sci-Fi Anthology,Books,15.99,science fiction short stories anthology space futuristic
108,Cookbook: Easy Weeknight Meals,Books,22.99,cookbook recipes cooking food easy quick meals
109,Self-Help: Focus and Flow,Books,18.99,self help productivity focus motivation personal growth
110,History of Ancient Rome,Books,24.99,history rome ancient civilization nonfiction educational
111,Men's Running Shoes,Clothing,64.99,running shoes sports footwear athletic men comfortable
112,Women's Yoga Pants,Clothing,34.99,yoga pants leggings athletic women stretch comfortable
113,Cotton Crew T-Shirt,Clothing,14.99,t-shirt cotton casual basic unisex everyday
114,Winter Puffer Jacket,Clothing,89.99,jacket winter warm puffer outerwear cold weather
115,Leather Belt,Clothing,24.99,belt leather accessory casual formal
116,Non-Stick Frying Pan,Home,29.99,cookware frying pan kitchen non-stick cooking
117,Memory Foam Pillow,Home,39.99,pillow memory foam sleep comfort bedroom
118,LED Desk Lamp,Home,22.99,lamp led desk lighting adjustable office
119,Ceramic Coffee Mug Set,Home,18.99,mug coffee ceramic kitchen set drinkware
120,Robot Vacuum Cleaner,Home,199.99,vacuum robot cleaning smart home automation
121,Yoga Mat,Sports,25.99,yoga mat exercise fitness non-slip
122,Adjustable Dumbbell Set,Sports,149.99,dumbbell weights strength training fitness gym
123,Camping Tent 2-Person,Sports,89.99,tent camping outdoor hiking shelter portable
124,Insulated Water Bottle,Sports,19.99,water bottle insulated hydration sports outdoor
125,Basketball,Sports,24.99,basketball sports outdoor ball game
