content_id,title,category,tags,content_type
1,Technology Article #1,Technology,ai|startups|gadgets,article
2,Sports Short-Post #2,Sports,cricket,short-post
3,Entertainment Short-Post #3,Entertainment,movies,short-post
4,Health Article #4,Health,nutrition|medicine,article
5,Finance Short-Post #5,Finance,crypto,short-post
6,Education Short-Post #6,Education,online-courses|career|exams,short-post
7,Technology Short-Post #7,Technology,startups|ai|gadgets,short-post
8,Sports Short-Post #8,Sports,football|fitness,short-post
9,Entertainment Article #9,Entertainment,celebrity|music,article
10,Health Article #10,Health,fitness,article
11,Finance Article #11,Finance,startups,article
12,Education Video #12,Education,career|exams,video
13,Technology Short-Post #13,Technology,startups,short-post
14,Sports Article #14,Sports,fitness,article
15,Entertainment Short-Post #15,Entertainment,celebrity|tv-shows|music,short-post
16,Health Article #16,Health,nutrition,article
17,Finance Article #17,Finance,crypto|startups|stocks,article
18,Education Video #18,Education,exams,video
19,Technology Video #19,Technology,programming|ai,video
20,Sports Video #20,Sports,cricket|olympics,video
21,Entertainment Short-Post #21,Entertainment,movies|celebrity|tv-shows,short-post
22,Health Video #22,Health,mental-health|nutrition|medicine,video
23,Finance Video #23,Finance,crypto|budgeting,video
24,Education Article #24,Education,programming,article
25,Technology Article #25,Technology,startups|gadgets,article
26,Sports Article #26,Sports,olympics,article
27,Entertainment Article #27,Entertainment,tv-shows|music|celebrity,article
28,Health Short-Post #28,Health,mental-health|nutrition,short-post
29,Finance Short-Post #29,Finance,budgeting|startups|crypto,short-post
30,Education Article #30,Education,career|online-courses,article
31,Technology Article #31,Technology,startups|ai|programming,article
32,Sports Short-Post #32,Sports,cricket,short-post
33,Entertainment Video #33,Entertainment,movies|music,video
34,Health Short-Post #34,Health,medicine|fitness|mental-health,short-post
35,Finance Short-Post #35,Finance,stocks,short-post
36,Education Article #36,Education,career|exams|programming,article
37,Technology Video #37,Technology,startups|ai,video
38,Sports Short-Post #38,Sports,olympics,short-post
39,Entertainment Short-Post #39,Entertainment,movies,short-post
40,Health Video #40,Health,mental-health|nutrition,video
41,Finance Short-Post #41,Finance,stocks,short-post
42,Education Article #42,Education,exams|online-courses,article
43,Technology Article #43,Technology,programming|ai,article
44,Sports Article #44,Sports,football,article
45,Entertainment Article #45,Entertainment,tv-shows|movies|celebrity,article
46,Health Video #46,Health,medicine|fitness|nutrition,video
47,Finance Short-Post #47,Finance,startups|stocks|budgeting,short-post
48,Education Short-Post #48,Education,exams|career,short-post
49,Technology Video #49,Technology,startups|programming,video
50,Sports Article #50,Sports,cricket,article
51,Entertainment Article #51,Entertainment,celebrity,article
52,Health Article #52,Health,mental-health|fitness|nutrition,article
53,Finance Article #53,Finance,stocks,article
54,Education Video #54,Education,online-courses,video
55,Technology Video #55,Technology,gadgets,video
56,Sports Short-Post #56,Sports,fitness|football|olympics,short-post
57,Entertainment Video #57,Entertainment,tv-shows|movies|music,video
58,Health Article #58,Health,nutrition,article
59,Finance Video #59,Finance,startups|crypto|budgeting,video
60,Education Short-Post #60,Education,online-courses|career,short-post
