text,label
Happy birthday! Hope you have a great day.,ham
Don't forget to submit your assignment by 4pm,ham
"Great job on the presentation today, the client loved it",ham
"Your package could not be delivered, pay a $1000 fee to reschedule",spam
"Act now! Your $500 refund is waiting, click to confirm your details",spam
"Congratulations, your number has won 50 in our monthly lottery draw",spam
"Mom said dinner is ready, come downstairs",ham
"Mom said dinner is ready, come downstairs",ham
"Your loan of $50 has been approved, reply now to receive funds",spam
Get rich quick! Invest $100 today and double your money in a week,ham
"Your package could not be delivered, pay a $1000 fee to reschedule",spam
"Claim your free 250GB data bundle now, offer ends today",spam
Can you send me the report before end of day?,ham
"Thanks for your help yesterday, really appreciate it",ham
Your order confirmation: package arriving in 3 days,ham
"Meeting moved to 7pm, updated invite attached",ham
Click this link to activate your free 100-day trial before it expires,spam
"Mom said dinner is ready, come downstairs",ham
"Don't miss out, only 9 spots left for the free webinar",spam
Can you send me the report before end of day?,spam
"Hot singles in your area want to chat with you right now, click here",spam
Your bank statement for this month is now available online,ham
Don't forget to submit your assignment by 3pm,ham
"The flight is scheduled to depart at 9 pm, don't be late",ham
"URGENT: Your account has been suspended, verify immediately at the link below",spam
Get rich quick! Invest $5 today and double your money in a week,spam
"Free entry to win a brand new iPhone, text WIN to 12",spam
"Running 6 minutes late, see you soon",ham
Get rich quick! Invest $20 today and double your money in a week,spam
Your order confirmation: package arriving in 10 days,spam
I've scheduled our call for 7 o'clock tomorrow,ham
Can you send me the report before end of day?,ham
Happy birthday! Hope you have a great day.,ham
Reminder: your subscription payment of $250 is due tomorrow,ham
Click this link to activate your free 50-day trial before it expires,spam
Please review the attached document and share your feedback,ham
"Your loan of $1000 has been approved, reply now to receive funds",spam
Your verification code is 10101010,ham
"Mom said dinner is ready, come downstairs",ham
Can you send me the report before end of day?,ham
Happy birthday! Hope you have a great day.,ham
"Thanks for your help yesterday, really appreciate it",ham
Get rich quick! Invest $50 today and double your money in a week,spam
Reminder: your subscription payment of $1000 is due tomorrow,ham
"URGENT: Your account has been suspended, verify immediately at the link below",spam
"Congratulations, your number has won 50 in our monthly lottery draw",spam
Limited time offer! Buy now and get 100% discount on all items,spam
Limited time offer! Buy now and get 1000% discount on all items,spam
WINNER!! As a valued customer you have been selected to receive a prize,spam
Can you send me the report before end of day?,spam
Your order confirmation: package arriving in 3 days,ham
"Thanks for your help yesterday, really appreciate it",ham
"Great job on the presentation today, the client loved it",ham
I've scheduled our call for 6 o'clock tomorrow,ham
"Let's catch up this weekend, it's been a while",spam
"Free entry to win a brand new iPhone, text WIN to 5",spam
