text,label
Government replacing oxygen with invisible gas tomorrow. Story #184.,Fake
Technology company unveils new AI software for businesses. Report #59.,Real
Dinosaurs found alive inside shopping mall basement. Story #290.,Fake
Government replacing oxygen with invisible gas tomorrow. Story #133.,Fake
Scientists discover promising treatment after clinical trials. Report #42.,Real
Drinking bleach cures every disease instantly. Story #373.,Fake
Drinking bleach cures every disease instantly. Story #331.,Fake
Researchers report water conservation improves crop yield. Report #268.,Real
Government announces new education policy in parliament. Report #156.,Real
Technology company unveils new AI software for businesses. Report #90.,Real
Chocolate proven to make people immortal overnight. Story #51.,Fake
Invisible dragons spotted flying over downtown. Story #108.,Fake
Drinking bleach cures every disease instantly. Story #285.,Fake
City opens new bridge to reduce traffic congestion. Report #466.,Real
Cats officially declared smarter than all scientists. Story #185.,Fake
Researchers report water conservation improves crop yield. Report #348.,Real
Health ministry launches nationwide vaccination campaign. Report #299.,Real
Researchers report water conservation improves crop yield. Report #29.,Real
City opens new bridge to reduce traffic congestion. Report #186.,Real
University publishes study on renewable energy adoption. Report #99.,Real
Time traveler wins every lottery for next century. Story #172.,Fake
Scientists discover promising treatment after clinical trials. Report #241.,Real
Chocolate proven to make people immortal overnight. Story #33.,Fake
Aliens secretly elected the president yesterday. Story #350.,Fake
Scientists discover promising treatment after clinical trials. Report #225.,Real
Aliens secretly elected the president yesterday. Story #314.,Fake
Cats officially declared smarter than all scientists. Story #366.,Fake
Dinosaurs found alive inside shopping mall basement. Story #358.,Fake
Time traveler wins every lottery for next century. Story #157.,Fake
Researchers report water conservation improves crop yield. Report #434.,Real
Mermaids discovered running international banks. Story #43.,Fake
Health ministry launches nationwide vaccination campaign. Report #149.,Real
University publishes study on renewable energy adoption. Report #187.,Real
Moon made entirely of cheese confirmed by experts. Story #208.,Fake
Government announces new education policy in parliament. Report #309.,Real
Dinosaurs found alive inside shopping mall basement. Story #253.,Fake
Government replacing oxygen with invisible gas tomorrow. Story #76.,Fake
Researchers report water conservation improves crop yield. Report #236.,Real
Moon made entirely of cheese confirmed by experts. Story #495.,Fake
Cats officially declared smarter than all scientists. Story #463.,Fake
Scientists discover promising treatment after clinical trials. Report #82.,Real
City opens new bridge to reduce traffic congestion. Report #409.,Real
Technology company unveils new AI software for businesses. Report #401.,Real
Moon made entirely of cheese confirmed by experts. Story #294.,Fake
Researchers report water conservation improves crop yield. Report #172.,Real
Cats officially declared smarter than all scientists. Story #216.,Fake
City opens new bridge to reduce traffic congestion. Report #246.,Real
Scientists discover promising treatment after clinical trials. Report #448.,Real
City opens new bridge to reduce traffic congestion. Report #374.,Real
Dinosaurs found alive inside shopping mall basement. Story #228.,Fake
Drinking bleach cures every disease instantly. Story #383.,Fake
Cats officially declared smarter than all scientists. Story #343.,Fake
City opens new bridge to reduce traffic congestion. Report #107.,Real
Chocolate proven to make people immortal overnight. Story #48.,Fake
Health ministry launches nationwide vaccination campaign. Report #231.,Real
Time traveler wins every lottery for next century. Story #69.,Fake
Technology company unveils new AI software for businesses. Report #306.,Real
Health ministry launches nationwide vaccination campaign. Report #427.,Real
Aliens secretly elected the president yesterday. Story #112.,Fake
