text,label
This product is amazing,Positive
This product is terrible,Negative
Excellent quality,Positive
Very bad experience,Negative
I love this,Positive
I hate this,Negative
Very good experience,Positive
Poor quality,Negative
Fantastic service,Positive
Not recommended,Negative
Highly recommended,Positive
Waste of money,Negative
Works perfectly,Positive
Does not work,Negative
Absolutely wonderful,Positive
Very disappointing,Negative
Happy with purchase,Positive
Awful service,Negative
Great job,Positive
Really bad,Negative
This product is amazing,Positive
This product is terrible,Negative
Excellent quality,Positive
Very bad experience,Negative
I love this,Positive
I hate this,Negative
Very good experience,Positive
Poor quality,Negative
Fantastic service,Positive
Not recommended,Negative
Highly recommended,Positive
Waste of money,Negative
Works perfectly,Positive
Does not work,Negative
Absolutely wonderful,Positive
Very disappointing,Negative
Happy with purchase,Positive
Awful service,Negative
Great job,Positive
Really bad,Negative
This product is amazing,Positive
This product is terrible,Negative
Excellent quality,Positive
Very bad experience,Negative
I love this,Positive
I hate this,Negative
Very good experience,Positive
Poor quality,Negative
Fantastic service,Positive
Not recommended,Negative
Highly recommended,Positive
Waste of money,Negative
Works perfectly,Positive
Does not work,Negative
Absolutely wonderful,Positive
Very disappointing,Negative
Happy with purchase,Positive
Awful service,Negative
Great job,Positive
Really bad,Negative
This product is amazing,Positive
This product is terrible,Negative
Excellent quality,Positive
Very bad experience,Negative
I love this,Positive
I hate this,Negative
Very good experience,Positive
Poor quality,Negative
Fantastic service,Positive
Not recommended,Negative
Highly recommended,Positive
Waste of money,Negative
Works perfectly,Positive
Does not work,Negative
Absolutely wonderful,Positive
Very disappointing,Negative
Happy with purchase,Positive
Awful service,Negative
Great job,Positive
Really bad,Negative
This product is amazing,Positive
This product is terrible,Negative
Excellent quality,Positive
Very bad experience,Negative
I love this,Positive
I hate this,Negative
Very good experience,Positive
Poor quality,Negative
Fantastic service,Positive
Not recommended,Negative
Highly recommended,Positive
Waste of money,Negative
Works perfectly,Positive
Does not work,Negative
Absolutely wonderful,Positive
Very disappointing,Negative
Happy with purchase,Positive
Awful service,Negative
Great job,Positive
Really bad,Negative
This product is amazing,Positive
This product is terrible,Negative
Excellent quality,Positive
Very bad experience,Negative
I love this,Positive
I hate this,Negative
Very good experience,Positive
Poor quality,Negative
Fantastic service,Positive
Not recommended,Negative
Highly recommended,Positive
Waste of money,Negative
Works perfectly,Positive
Does not work,Negative
Absolutely wonderful,Positive
Very disappointing,Negative
Happy with purchase,Positive
Awful service,Negative
Great job,Positive
Really bad,Negative
This product is amazing,Positive
This product is terrible,Negative
Excellent quality,Positive
Very bad experience,Negative
I love this,Positive
I hate this,Negative
Very good experience,Positive
Poor quality,Negative
Fantastic service,Positive
Not recommended,Negative
Highly recommended,Positive
Waste of money,Negative
Works perfectly,Positive
Does not work,Negative
Absolutely wonderful,Positive
Very disappointing,Negative
Happy with purchase,Positive
Awful service,Negative
Great job,Positive
Really bad,Negative
This product is amazing,Positive
This product is terrible,Negative
Excellent quality,Positive
Very bad experience,Negative
I love this,Positive
I hate this,Negative
Very good experience,Positive
Poor quality,Negative
Fantastic service,Positive
Not recommended,Negative
Highly recommended,Positive
Waste of money,Negative
Works perfectly,Positive
Does not work,Negative
Absolutely wonderful,Positive
Very disappointing,Negative
Happy with purchase,Positive
Awful service,Negative
Great job,Positive
Really bad,Negative
This product is amazing,Positive
This product is terrible,Negative
Excellent quality,Positive
Very bad experience,Negative
I love this,Positive
I hate this,Negative
Very good experience,Positive
Poor quality,Negative
Fantastic service,Positive
Not recommended,Negative
Highly recommended,Positive
Waste of money,Negative
Works perfectly,Positive
Does not work,Negative
Absolutely wonderful,Positive
Very disappointing,Negative
Happy with purchase,Positive
Awful service,Negative
Great job,Positive
Really bad,Negative
This product is amazing,Positive
This product is terrible,Negative
Excellent quality,Positive
Very bad experience,Negative
I love this,Positive
I hate this,Negative
Very good experience,Positive
Poor quality,Negative
Fantastic service,Positive
Not recommended,Negative
Highly recommended,Positive
Waste of money,Negative
Works perfectly,Positive
Does not work,Negative
Absolutely wonderful,Positive
Very disappointing,Negative
Happy with purchase,Positive
Awful service,Negative
Great job,Positive
Really bad,Negative

