email,label
Congratulations! You have won a free iPhone. Click here now! Ref #1,Spam
Claim your cash prize before midnight. Ref #2,Spam
Win a brand new car by entering this contest. Ref #3,Spam
Urgent! Your account has won a reward. Ref #4,Spam
Get rich quick with this amazing trick. Ref #5,Spam
Exclusive lottery winner! Verify now. Ref #6,Spam
Click this link to receive your bonus. Ref #7,Spam
Free vacation awaits you. Claim today. Ref #8,Spam
You have been selected for a cash reward. Ref #9,Spam
Earn $1000 daily from home. Ref #10,Spam
Congratulations! You have won a free iPhone. Click here now! Ref #11,Spam
Claim your cash prize before midnight. Ref #12,Spam
Win a brand new car by entering this contest. Ref #13,Spam
Urgent! Your account has won a reward. Ref #14,Spam
Get rich quick with this amazing trick. Ref #15,Spam
Exclusive lottery winner! Verify now. Ref #16,Spam
Click this link to receive your bonus. Ref #17,Spam
Free vacation awaits you. Claim today. Ref #18,Spam
You have been selected for a cash reward. Ref #19,Spam
Earn $1000 daily from home. Ref #20,Spam
Congratulations! You have won a free iPhone. Click here now! Ref #21,Spam
Claim your cash prize before midnight. Ref #22,Spam
Win a brand new car by entering this contest. Ref #23,Spam
Urgent! Your account has won a reward. Ref #24,Spam
Get rich quick with this amazing trick. Ref #25,Spam
Exclusive lottery winner! Verify now. Ref #26,Spam
Click this link to receive your bonus. Ref #27,Spam
Free vacation awaits you. Claim today. Ref #28,Spam
You have been selected for a cash reward. Ref #29,Spam
Earn $1000 daily from home. Ref #30,Spam
Congratulations! You have won a free iPhone. Click here now! Ref #31,Spam
Claim your cash prize before midnight. Ref #32,Spam
Win a brand new car by entering this contest. Ref #33,Spam
Urgent! Your account has won a reward. Ref #34,Spam
Get rich quick with this amazing trick. Ref #35,Spam
Exclusive lottery winner! Verify now. Ref #36,Spam
Click this link to receive your bonus. Ref #37,Spam
Free vacation awaits you. Claim today. Ref #38,Spam
You have been selected for a cash reward. Ref #39,Spam
Earn $1000 daily from home. Ref #40,Spam
Congratulations! You have won a free iPhone. Click here now! Ref #41,Spam
Claim your cash prize before midnight. Ref #42,Spam
Win a brand new car by entering this contest. Ref #43,Spam
Urgent! Your account has won a reward. Ref #44,Spam
Get rich quick with this amazing trick. Ref #45,Spam
Exclusive lottery winner! Verify now. Ref #46,Spam
Click this link to receive your bonus. Ref #47,Spam
Free vacation awaits you. Claim today. Ref #48,Spam
You have been selected for a cash reward. Ref #49,Spam
Earn $1000 daily from home. Ref #50,Spam
Congratulations! You have won a free iPhone. Click here now! Ref #51,Spam
Claim your cash prize before midnight. Ref #52,Spam
Win a brand new car by entering this contest. Ref #53,Spam
Urgent! Your account has won a reward. Ref #54,Spam
Get rich quick with this amazing trick. Ref #55,Spam
Exclusive lottery winner! Verify now. Ref #56,Spam
Click this link to receive your bonus. Ref #57,Spam
Free vacation awaits you. Claim today. Ref #58,Spam
You have been selected for a cash reward. Ref #59,Spam
Earn $1000 daily from home. Ref #60,Spam
Flat 50% OFF on all products today only! Ref #1,Promotion
Big Billion Sale starts tomorrow. Shop now! Ref #2,Promotion
Exclusive discount for premium customers. Ref #3,Promotion
Buy one get one free this weekend. Ref #4,Promotion
New arrivals are now available. Ref #5,Promotion
Special festive offer ends tonight. Ref #6,Promotion
Limited time coupon inside. Ref #7,Promotion
Mega electronics sale starts today. Ref #8,Promotion
Save more with our loyalty offer. Ref #9,Promotion
Flash sale on fashion items. Ref #10,Promotion
Flat 50% OFF on all products today only! Ref #11,Promotion
Big Billion Sale starts tomorrow. Shop now! Ref #12,Promotion
Exclusive discount for premium customers. Ref #13,Promotion
Buy one get one free this weekend. Ref #14,Promotion
New arrivals are now available. Ref #15,Promotion
Special festive offer ends tonight. Ref #16,Promotion
Limited time coupon inside. Ref #17,Promotion
Mega electronics sale starts today. Ref #18,Promotion
Save more with our loyalty offer. Ref #19,Promotion
Flash sale on fashion items. Ref #20,Promotion
Flat 50% OFF on all products today only! Ref #21,Promotion
Big Billion Sale starts tomorrow. Shop now! Ref #22,Promotion
Exclusive discount for premium customers. Ref #23,Promotion
Buy one get one free this weekend. Ref #24,Promotion
New arrivals are now available. Ref #25,Promotion
Special festive offer ends tonight. Ref #26,Promotion
Limited time coupon inside. Ref #27,Promotion
Mega electronics sale starts today. Ref #28,Promotion
Save more with our loyalty offer. Ref #29,Promotion
Flash sale on fashion items. Ref #30,Promotion
Flat 50% OFF on all products today only! Ref #31,Promotion
Big Billion Sale starts tomorrow. Shop now! Ref #32,Promotion
Exclusive discount for premium customers. Ref #33,Promotion
Buy one get one free this weekend. Ref #34,Promotion
New arrivals are now available. Ref #35,Promotion
Special festive offer ends tonight. Ref #36,Promotion
Limited time coupon inside. Ref #37,Promotion
Mega electronics sale starts today. Ref #38,Promotion
Save more with our loyalty offer. Ref #39,Promotion
Flash sale on fashion items. Ref #40,Promotion
Flat 50% OFF on all products today only! Ref #41,Promotion
Big Billion Sale starts tomorrow. Shop now! Ref #42,Promotion
Exclusive discount for premium customers. Ref #43,Promotion
Buy one get one free this weekend. Ref #44,Promotion
New arrivals are now available. Ref #45,Promotion
Special festive offer ends tonight. Ref #46,Promotion
Limited time coupon inside. Ref #47,Promotion
Mega electronics sale starts today. Ref #48,Promotion
Save more with our loyalty offer. Ref #49,Promotion
Flash sale on fashion items. Ref #50,Promotion
Flat 50% OFF on all products today only! Ref #51,Promotion
Big Billion Sale starts tomorrow. Shop now! Ref #52,Promotion
Exclusive discount for premium customers. Ref #53,Promotion
Buy one get one free this weekend. Ref #54,Promotion
New arrivals are now available. Ref #55,Promotion
Special festive offer ends tonight. Ref #56,Promotion
Limited time coupon inside. Ref #57,Promotion
Mega electronics sale starts today. Ref #58,Promotion
Save more with our loyalty offer. Ref #59,Promotion
Flash sale on fashion items. Ref #60,Promotion
John commented on your recent photo. Ref #1,Social
Sarah sent you a friend request. Ref #2,Social
You have been tagged in a post. Ref #3,Social
Anna mentioned you in a comment. Ref #4,Social
Your friend shared a memory with you. Ref #5,Social
You have a new follower. Ref #6,Social
David liked your post. Ref #7,Social
Group event starts tomorrow. Ref #8,Social
Someone replied to your comment. Ref #9,Social
New message from Alex. Ref #10,Social
John commented on your recent photo. Ref #11,Social
Sarah sent you a friend request. Ref #12,Social
You have been tagged in a post. Ref #13,Social
Anna mentioned you in a comment. Ref #14,Social
Your friend shared a memory with you. Ref #15,Social
You have a new follower. Ref #16,Social
David liked your post. Ref #17,Social
Group event starts tomorrow. Ref #18,Social
Someone replied to your comment. Ref #19,Social
New message from Alex. Ref #20,Social
John commented on your recent photo. Ref #21,Social
Sarah sent you a friend request. Ref #22,Social
You have been tagged in a post. Ref #23,Social
Anna mentioned you in a comment. Ref #24,Social
Your friend shared a memory with you. Ref #25,Social
You have a new follower. Ref #26,Social
David liked your post. Ref #27,Social
Group event starts tomorrow. Ref #28,Social
Someone replied to your comment. Ref #29,Social
New message from Alex. Ref #30,Social
John commented on your recent photo. Ref #31,Social
Sarah sent you a friend request. Ref #32,Social
You have been tagged in a post. Ref #33,Social
Anna mentioned you in a comment. Ref #34,Social
Your friend shared a memory with you. Ref #35,Social
You have a new follower. Ref #36,Social
David liked your post. Ref #37,Social
Group event starts tomorrow. Ref #38,Social
Someone replied to your comment. Ref #39,Social
New message from Alex. Ref #40,Social
John commented on your recent photo. Ref #41,Social
Sarah sent you a friend request. Ref #42,Social
You have been tagged in a post. Ref #43,Social
Anna mentioned you in a comment. Ref #44,Social
Your friend shared a memory with you. Ref #45,Social
You have a new follower. Ref #46,Social
David liked your post. Ref #47,Social
Group event starts tomorrow. Ref #48,Social
Someone replied to your comment. Ref #49,Social
New message from Alex. Ref #50,Social
John commented on your recent photo. Ref #51,Social
Sarah sent you a friend request. Ref #52,Social
You have been tagged in a post. Ref #53,Social
Anna mentioned you in a comment. Ref #54,Social
Your friend shared a memory with you. Ref #55,Social
You have a new follower. Ref #56,Social
David liked your post. Ref #57,Social
Group event starts tomorrow. Ref #58,Social
Someone replied to your comment. Ref #59,Social
New message from Alex. Ref #60,Social
Meeting scheduled at 10 AM tomorrow. Ref #1,Important
Please submit the project report before Friday. Ref #2,Important
Your interview is confirmed for Monday. Ref #3,Important
Invoice payment is due tomorrow. Ref #4,Important
Project deadline has been updated. Ref #5,Important
Team meeting agenda attached. Ref #6,Important
Your bank statement is available. Ref #7,Important
Appointment confirmed for Tuesday. Ref #8,Important
Client requested revisions. Ref #9,Important
Monthly performance review scheduled. Ref #10,Important
Meeting scheduled at 10 AM tomorrow. Ref #11,Important
Please submit the project report before Friday. Ref #12,Important
Your interview is confirmed for Monday. Ref #13,Important
Invoice payment is due tomorrow. Ref #14,Important
Project deadline has been updated. Ref #15,Important
Team meeting agenda attached. Ref #16,Important
Your bank statement is available. Ref #17,Important
Appointment confirmed for Tuesday. Ref #18,Important
Client requested revisions. Ref #19,Important
Monthly performance review scheduled. Ref #20,Important
Meeting scheduled at 10 AM tomorrow. Ref #21,Important
Please submit the project report before Friday. Ref #22,Important
Your interview is confirmed for Monday. Ref #23,Important
Invoice payment is due tomorrow. Ref #24,Important
Project deadline has been updated. Ref #25,Important
Team meeting agenda attached. Ref #26,Important
Your bank statement is available. Ref #27,Important
Appointment confirmed for Tuesday. Ref #28,Important
Client requested revisions. Ref #29,Important
Monthly performance review scheduled. Ref #30,Important
Meeting scheduled at 10 AM tomorrow. Ref #31,Important
Please submit the project report before Friday. Ref #32,Important
Your interview is confirmed for Monday. Ref #33,Important
Invoice payment is due tomorrow. Ref #34,Important
Project deadline has been updated. Ref #35,Important
Team meeting agenda attached. Ref #36,Important
Your bank statement is available. Ref #37,Important
Appointment confirmed for Tuesday. Ref #38,Important
Client requested revisions. Ref #39,Important
Monthly performance review scheduled. Ref #40,Important
Meeting scheduled at 10 AM tomorrow. Ref #41,Important
Please submit the project report before Friday. Ref #42,Important
Your interview is confirmed for Monday. Ref #43,Important
Invoice payment is due tomorrow. Ref #44,Important
Project deadline has been updated. Ref #45,Important
Team meeting agenda attached. Ref #46,Important
Your bank statement is available. Ref #47,Important
Appointment confirmed for Tuesday. Ref #48,Important
Client requested revisions. Ref #49,Important
Monthly performance review scheduled. Ref #50,Important
Meeting scheduled at 10 AM tomorrow. Ref #51,Important
Please submit the project report before Friday. Ref #52,Important
Your interview is confirmed for Monday. Ref #53,Important
Invoice payment is due tomorrow. Ref #54,Important
Project deadline has been updated. Ref #55,Important
Team meeting agenda attached. Ref #56,Important
Your bank statement is available. Ref #57,Important
Appointment confirmed for Tuesday. Ref #58,Important
Client requested revisions. Ref #59,Important
Monthly performance review scheduled. Ref #60,Important
