text,label
"Despite the script being a bit weak, I still found the film well done.",positive
the ending was outstanding but that could not save an otherwise terrible movie.,negative
"This movie met my expectations, the cinematography was decent.",positive
"I was a little frustrated watching this, the script was boring.",negative
"The film was unconvincing, especially the plot which held it back.",negative
"I enjoyed most of it, the acting was decent.",positive
the directing was wonderful but that could not save an otherwise slow movie.,negative
"Even though the dialogue was superb, the rest of the film felt forgettable.",negative
"Honestly the ending was not flat at all, I liked it.",positive
"Not a great movie, the plot was uninspired.",negative
"the directing was not wonderful, I expected more from it.",negative
"This movie met my expectations, the pacing was fine.",positive
"Hard to sit through at times, the directing was boring.",negative
"This film was a bit of a letdown, the ending felt boring.",negative
"This film was enjoyable, the editing felt captivating.",positive
"This film was a bit of a letdown, the chemistry between the leads felt clunky.",negative
"I would recommend this film, the characters was fine throughout.",positive
the storyline was terrible at times but overall the movie was captivating.,positive
"the performances was far from mediocre, it actually worked well.",positive
"This film was enjoyable, the acting felt well done.",negative
"A weak movie this year, the screenplay was weak.",negative
"This movie fell short for me, the pacing was forgettable.",negative
"I did not enjoy this movie much, the pacing was underwhelming.",negative
"Honestly the characters was not disappointing at all, I liked it.",positive
"The film was impressive, especially the performances which stood out.",positive
the ending was nowhere near as outstanding as people say.,negative
the performances was brilliant but that could not save an otherwise dull movie.,negative
"I was a little frustrated watching this, the dialogue was dull.",negative
the chemistry between the leads was disappointing at times but overall the movie was captivating.,positive
"Not really worth the time, it did not hold my interest.",negative
"Not a great movie, the chemistry between the leads was flat.",negative
"The film was disappointing, especially the pacing which held it back.",negative
"This film was enjoyable, the editing felt brilliant.",positive
"The film was decent, especially the directing which stood out.",positive
I found myself checking the time during the second act.,negative
"This movie fell short for me, the storyline was weak.",positive
"Most scenes felt purposeful, the payoff was okay.",positive
"I did not enjoy it much, the plot was underwhelming.",negative
the pacing was impressive but that could not save an otherwise clunky movie.,negative
Fairly predictable and a bit too long for its own good.,negative
"I did not enjoy it much, the visual effects was forgettable.",negative
"A weak movie this year, the storyline was terrible.",negative
the performances was forgettable at times but overall the movie was great.,positive
"Even though the ending was outstanding, the rest of the film felt clunky.",negative
A decent story that mostly held my attention.,positive
"Not a great movie, the storyline was dull.",negative
